Feature,Coefficient
Unnamed: 0,-0.0
AAP99,0.0
Abditibacterium,-0.0
Abiotrophia,-0.0
Acetitomaculum,-0.0
Acetivibrio,-0.0
Acetobacter,-0.0
Acholeplasma,-0.0
Achromobacter,-0.0
Acinetobacter,-4.051349037044177e-05
Actinoplanes,-0.0
Aequorivita,-0.0
Aeribacillus,-0.0
Aerococcus,-0.0
Aeromonas,-0.0
Aestuariibacter,-0.0
Agrococcus,-0.0
Agromyces,-0.0
Alcaligenes,-0.0
Algicola,-0.0
Alicyclobacillus,0.0
Aliiglaciecola,0.0
Aliivibrio,0.0
Alishewanella,-0.0
Alistipes,-0.0
Alkalibacillus,-0.0
Alkalibacterium,-0.0
Alkanindiges,0.0
Alloiococcus,0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,-0.0
Altererythrobacter,-0.0
Alteromonas,0.0
Amaricoccus,-0.0
Amphritea,-0.0
Amylolactobacillus,0.0
Anaerococcus,-0.0
Anaerocolumna,-0.0
Aneurinibacillus,-0.0
Anoxybacillus,-0.0
Apilactobacillus,-0.0
Aquabacterium,-0.0
Aquamonas,0.0
Aquicella,0.0
Arcobacter,-0.0
Arenimonas,-0.0
Arsenicitalea,-0.0
Arsenophonus,-0.0
Arthrobacter,-0.0
Atlantibacter,-0.0
Atopostipes,-0.0
Aurantimicrobium,-0.0
Azotobacter,0.0
BD1-7 clade,0.0
Bacillus,-2.2953990289724675e-05
Bacteroides,0.0
Barnesiella,-0.0
Bavariicoccus,-0.0
Bergeyella,-0.0
Bifidobacterium,-0.0
Biostraticola,-0.0
Bombilactobacillus,0.0
Bowmanella,0.0
Brachybacterium,-0.0
Brevibacterium,-0.0
Brochothrix,4.587490275797497e-06
Buchnera,-0.0
Budvicia,0.0
Burkholderia-Caballeronia-Paraburkholderia,-0.0
Buttiauxella,0.0
C1-B045,-0.0
Campylobacter,0.0
Candidatus Aquiluna,-0.0
Candidatus Baumannia,-0.0
Candidatus Benitsuchiphilus,-0.0
Candidatus Blochmannia,0.0
Candidatus Ecksteinia,-0.0
Candidatus Photodesmus,0.0
Candidatus Phytoplasma,-0.0
Candidatus Profftella,0.0
Candidatus Regiella,-0.0
Candidatus Stammerula,-0.0
Carnimonas,-0.0
Carnobacterium,2.8771440112190474e-06
Cedecea,0.0
Cellvibrio,-0.0
Cetobacterium,-0.0
Chishuiella,-0.0
Christensenellaceae R-7 group,-0.0
Chromohalobacter,-0.0
Chryseobacterium,-0.0
Citrobacter,0.0
Clostridiisalibacter,-0.0
Clostridium sensu stricto 1,-0.0
Clostridium sensu stricto 10,-0.0
Clostridium sensu stricto 12,-0.0
Clostridium sensu stricto 3,-0.0
Clostridium sensu stricto 5,-0.0
Clostridium sensu stricto 8,-0.0
Clostridium sensu stricto 9,-0.0
Cobetia,0.0
Cocleimonas,-0.0
Cohnella,0.0
Colwellia,0.0
Comamonas,-0.0
Companilactobacillus,-0.0
Conchiformibius,-0.0
Corticicoccus,-0.0
Corynebacterium,-0.0
Cosenzaea,-0.0
Coxiella,0.0
Cronobacter,0.0
Cryptosporangium,-0.0
Curtobacterium,-0.0
Delftia,-0.0
Dellaglioa,1.569947150993951e-06
Dermacoccus,-0.0
Desemzia,-0.0
Devosia,-0.0
Diaphorobacter,-0.0
Dickeya,-0.0
Dielma,-0.0
Dietzia,-0.0
Dolosigranulum,-0.0
Domibacillus,-0.0
Duganella,-0.0
Dyadobacter,-0.0
Edwardsiella,0.0
Empedobacter,-0.0
