Sample_Name,pH
C01TB,n.d.
C01TD,n.d.
C01TE,n.d.
C01TG,n.d.
C01T0A,6.31
C01T0B,6.22
C01T0C,6.23
C01T1A1,5.69
C01T1A2,5.58
C01T1A3,5.74
C01T1B1,5.63
C01T1B2,5.73
C01T1B3,5.94
C01T1C1,5.54
C01T1C2,5.76
C01T1C3,5.77
C01T2A1,5.46
C01T2A2,5.48
C01T2A3,5.3
C01T2B1,5.37
C01T2B2,5.48
C01T2B3,5.12
C01T2C1,5.19
C01T2C2,5.33
C01T2C3,5.11
C01T3A1,5.49
C01T3A2,5.41
C01T3A3,5.24
C01T3B1,5.42
C01T3B2,5.44
C01T3B3,5.08
C01T3C1,5.2
C01T3C2,5.39
C01T3C3,5.07
C02TB,n.d.
C02TD,n.d.
C02TE,n.d.
C02TG,n.d.
C02T0A,6.37
C02T0B,6.2
C02T0C,6.17
C02T1A1,5.89
C02T1A2,5.9
C02T1A3,5.87
C02T1B1,5.6
C02T1B2,5.75
C02T1B3,5.9
C02T1C1,5.57
C02T1C2,5.71
C02T1C3,5.86
C02T2A1,5.58
C02T2A2,5.67
C02T2A3,5.39
C02T2B1,5.36
C02T2B2,5.39
C02T2B3,5.15
C02T2C1,5.23
C02T2C2,5.39
C02T2C3,5.08
C02T3A1,5.65
C02T3A2,5.8
C02T3A3,5.34
C02T3B1,5.35
C02T3B2,5.49
C02T3B3,5.1
C02T3C1,5.23
C02T3C2,5.39
C02T3C3,5.07
C03TB,n.d.
C03TD,n.d.
C03TE,n.d.
C03TG,n.d.
C03T0A,6.42
C03T0B,6.39
C03T0C,6.45
C03T1A1,6.18
C03T1A2,6.16
C03T1A3,6.15
C03T1B1,5.87
C03T1B2,5.94
C03T1B3,6.06
C03T1C1,5.78
C03T1C2,5.76
C03T1C3,5.87
C03T2A1,5.43
C03T2A2,5.41
C03T2A3,5.4
C03T2B1,5.36
C03T2B2,5.42
C03T2B3,5.2
C03T2C1,5.26
C03T2C2,5.38
C03T2C3,5.22
C03T3A1,5.5
C03T3A2,5.46
C03T3A3,5.21
C03T3B1,5.38
C03T3B2,5.43
C03T3B3,5.26
C03T3C1,5.31
C03T3C2,5.41
C03T3C3,5.23
C04TB,n.d.
C04TD,n.d.
C04TE,n.d.
C04TG,n.d.
C04T0A,6.33
C04T0B,6.3
C04T0C,6.23
C04T1A1,6.15
C04T1A2,6.06
C04T1A3,6.09
C04T1B1,5.98
C04T1B2,5.81
C04T1B3,6.06
C04T1C1,5.67
C04T1C2,5.75
C04T1C3,5.92
C04T2A1,5.46
C04T2A2,5.46
C04T2A3,5.38
C04T2B1,5.3
C04T2B2,5.46
C04T2B3,5.22
C04T2C1,5.18
C04T2C2,5.31
C04T2C3,5.08
C04T3A1,5.47
C04T3A2,5.49
C04T3A3,5.26
C04T3B1,5.39
C04T3B2,5.45
C04T3B3,5.21
C04T3C1,5.18
C04T3C2,5.36
C04T3C3,5.15
C05TB,n.d.
C05TD,n.d.
C05TE,n.d.
C05TG,n.d.
C05T0A,6.5
C05T0B,6.37
C05T0C,6.35
C05T1A1,5.98
C05T1A2,5.98
C05T1A3,6.15
C05T1B1,5.66
C05T1B2,5.78
C05T1B3,5.96
C05T1C1,5.5
C05T1C2,5.61
C05T1C3,5.65
C05T2A1,5.66
C05T2A2,5.81
C05T2A3,5.5
C05T2B1,5.53
C05T2B2,5.67
C05T2B3,5.37
C05T2C1,5.47
C05T2C2,5.54
C05T2C3,5.36
C05T3A1,5.68
C05T3A2,5.79
C05T3A3,5.51
C05T3B1,5.53
C05T3B2,5.66
C05T3B3,5.48
C05T3C1,5.51
C05T3C2,5.49
