Sample_Name,Lactic acid bacteria             (log10 CFU.g-1)
C01TB,0
C01TD,3.39
C01TE,0
C01TG,2.69
C01T0A,4.36
C01T0B,3.72
C01T0C,3.65
C01T1A1,8.05
C01T1A2,8.07
C01T1A3,8.12
C01T1B1,7.52
C01T1B2,7.44
C01T1B3,8.1
C01T1C1,7.32
C01T1C2,7.18
C01T1C3,7.65
C01T2A1,8.15
C01T2A2,8.00
C01T2A3,8.37
C01T2B1,8.03
C01T2B2,7.85
C01T2B3,8.68
C01T2C1,7.68
C01T2C2,7.68
C01T2C3,8.8
C01T3A1,8.17
C01T3A2,7.75
C01T3A3,8.08
C01T3B1,7.88
C01T3B2,7.78
C01T3B3,8.26
C01T3C1,7.69
C01T3C2,7.57
C01T3C3,8.48
C02TB,n.d.
C02TD,2.53
C02TE,n.d.
C02TG,3.15
C02T0A,3.37
C02T0B,3.62
C02T0C,3.39
C02T1A1,7.32
C02T1A2,7.21
C02T1A3,7.46
C02T1B1,7.47
C02T1B2,7.12
C02T1B3,7.61
C02T1C1,7.23
C02T1C2,7.1
C02T1C3,7.74
C02T2A1,7.98
C02T2A2,8.27
C02T2A3,7.9
C02T2B1,8.05
C02T2B2,7.75
C02T2B3,8.46
C02T2C1,8.22
C02T2C2,8.00
C02T2C3,7.93
C02T3A1,7.8
C02T3A2,7.6
C02T3A3,7.94
C02T3B1,8.24
C02T3B2,8.41
C02T3B3,8.36
C02T3C1,7.42
C02T3C2,7.63
C02T3C3,8.47
C03TB,<1
C03TD,2.18
C03TE,<1
C03TG,2.57
C03T0A,2.44
C03T0B,2.83
C03T0C,2.95
C03T1A1,5.88
C03T1A2,5.64
C03T1A3,6.45
C03T1B1,6.73
C03T1B2,5.61
C03T1B3,8.35
C03T1C1,6.18
C03T1C2,6.33
C03T1C3,7.43
C03T2A1,8.12
C03T2A2,7.84
C03T2A3,8.1
C03T2B1,8.00
C03T2B2,7.65
C03T2B3,8.18
C03T2C1,8.12
C03T2C2,7.58
C03T2C3,8.17
C03T3A1,8.26
C03T3A2,8.31
C03T3A3,8.3
C03T3B1,8.23
C03T3B2,7.79
C03T3B3,8.57
C03T3C1,8.17
C03T3C2,7.99
C03T3C3,8.26
C04TB,3.38
C04TD,2.1
C04TE,<1
C04TG,2.1
C04T0A,3.54
C04T0B,3.32
C04T0C,3.45
C04T1A1,6.86
C04T1A2,6.5
C04T1A3,6.89
C04T1B1,6.55
C04T1B2,6.57
C04T1B3,6.84
C04T1C1,6.99
C04T1C2,6.54
C04T1C3,7.44
C04T2A1,9.41
C04T2A2,9.16
C04T2A3,9.09
C04T2B1,9.17
C04T2B2,8.58
C04T2B3,9.24
C04T2C1,8.3
C04T2C2,8.48
C04T2C3,8.55
C04T3A1,8.96
C04T3A2,8.54
C04T3A3,8.53
C04T3B1,8.63
C04T3B2,8.7
C04T3B3,8.85
C04T3C1,8.66
C04T3C2,8.49
C04T3C3,8.95
C05TB,<1
C05TD,2.44
C05TE,<1
C05TG,2.49
C05T0A,4.62
C05T0B,3.32
C05T0C,4.23
C05T1A1,7.39
C05T1A2,7.24
C05T1A3,7.63
C05T1B1,7.5
C05T1B2,7.57
C05T1B3,7.96
C05T1C1,7.33
C05T1C2,7.5
C05T1C3,8.65
C05T2A1,8.17
C05T2A2,7.8
