Sample_Name,Meat_Type,Campaign,Sampling_time,Lactate_Dose,Packaging,Ph,Sample_CFU_aerobic,Sample_CFU_lactic,Spoilage_level,Etheral,Fermented,Prickly,Rancid,Sulfurous,Run,Amplicon,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Collection_date,DATASTORE_filetype,Experiment,geo_loc_name,Library_Name
C01T0A,Poultry,n°1,T0,Normal_dose,None,6.0,6.0,4.0,,,,,,,SRR8594671,16S,424,42590066,SAMN10970131,Metagenome or environmental,19069376,7/20/2017,"fastq,run.zq,sra",SRX5394845,France: Sable-sur-Sarthe,C01T0A_16S
C01T0A,Poultry,n°1,T0,Normal_dose,None,6.0,6.0,4.0,,,,,,,SRR8590097,gyrB,250,40001718,SAMN10964863,Metagenome or environmental,20647473,7/20/2017,"fastq,run.zq,sra",SRX5390586,France: Sable-sur-Sarthe,C01T0A
C01T0B,Poultry,n°1,T0,Half_dose,None,6.0,6.0,4.0,,,,,,,SRR8594672,16S,424,24927250,SAMN10970132,Metagenome or environmental,10578612,7/20/2017,"fastq,run.zq,sra",SRX5394844,France: Sable-sur-Sarthe,C01T0B_16S
C01T0B,Poultry,n°1,T0,Half_dose,None,6.0,6.0,4.0,,,,,,,SRR8590098,gyrB,248,34733931,SAMN10964864,Metagenome or environmental,14467650,7/20/2017,"fastq,run.zq,sra",SRX5390585,France: Sable-sur-Sarthe,C01T0B
C01T0C,Poultry,n°1,T0,Zero_dose,None,6.0,6.0,4.0,,,,,,,SRR8594673,16S,424,40798479,SAMN10970133,Metagenome or environmental,16502046,7/20/2017,"fastq,run.zq,sra",SRX5394843,France: Sable-sur-Sarthe,C01T0C_16S
C01T0C,Poultry,n°1,T0,Zero_dose,None,6.0,6.0,4.0,,,,,,,SRR8590099,gyrB,248,34178424,SAMN10964865,Metagenome or environmental,17484254,7/20/2017,"fastq,run.zq,sra",SRX5390584,France: Sable-sur-Sarthe,C01T0C
C01T1A1,Poultry,n°1,T1,Normal_dose,Air,6.0,8.0,8.0,,,,,,,SRR8594674,16S,424,42662002,SAMN10970134,Metagenome or environmental,19559806,7/26/2017,"fastq,run.zq,sra",SRX5394842,France: Sable-sur-Sarthe,C01T1A1_16S
C01T1A1,Poultry,n°1,T1,Normal_dose,Air,6.0,8.0,8.0,,,,,,,SRR8590100,gyrB,249,34394613,SAMN10964866,Metagenome or environmental,17741635,7/26/2017,"fastq,run.zq,sra",SRX5390583,France: Sable-sur-Sarthe,C01T1A1
C01T1A2,Poultry,n°1,T1,Normal_dose,70%O2_30%CO2,6.0,8.0,8.0,,,,,,,SRR8594675,16S,424,35215100,SAMN10970135,Metagenome or environmental,15291210,7/26/2017,"fastq,run.zq,sra",SRX5394841,France: Sable-sur-Sarthe,C01T1A2_16S
C01T1A2,Poultry,n°1,T1,Normal_dose,70%O2_30%CO2,6.0,8.0,8.0,,,,,,,SRR8590101,gyrB,248,29039042,SAMN10964867,Metagenome or environmental,15134068,7/26/2017,"fastq,run.zq,sra",SRX5390582,France: Sable-sur-Sarthe,C01T1A2
C01T1A3,Poultry,n°1,T1,Normal_dose,50%N2_50%CO2,6.0,8.0,8.0,,,,,,,SRR8594676,16S,424,49702259,SAMN10970136,Metagenome or environmental,22027787,7/26/2017,"fastq,run.zq,sra",SRX5394840,France: Sable-sur-Sarthe,C01T1A3_16S
C01T1A3,Poultry,n°1,T1,Normal_dose,50%N2_50%CO2,6.0,8.0,8.0,,,,,,,SRR8590102,gyrB,247,26244911,SAMN10964868,Metagenome or environmental,13671363,7/26/2017,"fastq,run.zq,sra",SRX5390581,France: Sable-sur-Sarthe,C01T1A3
C01T1B1,Poultry,n°1,T1,Half_dose,Air,6.0,9.0,8.0,,,,,,,SRR8594677,16S,424,40992019,SAMN10970137,Metagenome or environmental,16486487,7/26/2017,"fastq,run.zq,sra",SRX5394839,France: Sable-sur-Sarthe,C01T1B1_16S
C01T1B1,Poultry,n°1,T1,Half_dose,Air,6.0,9.0,8.0,,,,,,,SRR8590103,gyrB,246,37668896,SAMN10964869,Metagenome or environmental,18766063,7/26/2017,"fastq,run.zq,sra",SRX5390580,France: Sable-sur-Sarthe,C01T1B1
C01T1B2,Poultry,n°1,T1,Half_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8594678,16S,424,64731004,SAMN10970138,Metagenome or environmental,25759378,7/26/2017,"fastq,run.zq,sra",SRX5394838,France: Sable-sur-Sarthe,C01T1B2_16S
C01T1B2,Poultry,n°1,T1,Half_dose,70%O2_30%CO2,6.0,9.0,7.0,,,,,,,SRR8590104,gyrB,245,27893200,SAMN10964870,Metagenome or environmental,13686592,7/26/2017,"fastq,run.zq,sra",SRX5390579,France: Sable-sur-Sarthe,C01T1B2
C01T1B3,Poultry,n°1,T1,Half_dose,50%N2_50%CO2,6.0,9.0,8.0,,,,,,,SRR8594669,16S,424,22649255,SAMN10970139,Metagenome or environmental,9611149,7/26/2017,"fastq,run.zq,sra",SRX5394847,France: Sable-sur-Sarthe,C01T1B3_16S
C01T1B3,Poultry,n°1,T1,Half_dose,50%N2_50%CO2,6.0,9.0,8.0,,,,,,,SRR8590105,gyrB,246,20199504,SAMN10964871,Metagenome or environmental,10285509,7/26/2017,"fastq,run.zq,sra",SRX5390578,France: Sable-sur-Sarthe,C01T1B3
C01T1C1,Poultry,n°1,T1,Zero_dose,Air,6.0,9.0,7.0,,,,,,,SRR8594670,16S,424,33347098,SAMN10970140,Metagenome or environmental,13967283,7/26/2017,"fastq,run.zq,sra",SRX5394846,France: Sable-sur-Sarthe,C01T1C1_16S
