Feature,Coefficient
Leuconostoc,1.518332828611128
Brochothrix,1.1803974918704416
Acinetobacter,-0.735675314442536
Pediococcus,0.7121062028219367
Faecalibacterium,-0.6912166757475638
Lapidilactobacillus,0.6833868127109741
Paracoccus,-0.6134683260233836
Liquorilactobacillus,0.49511854521926274
[Ruminococcus] torques group,-0.4553654991483364
Photobacterium,0.4434818596888866
Moellerella,0.4194848752764692
Haemophilus,-0.385218098906968
Pseudogracilibacillus,-0.37843397860339933
Providencia,-0.3141799600800335
Marinobacter,0.30628821620075414
Clostridium sensu stricto 9,-0.2954217883511559
Sodalis,-0.2934987252069783
Acetivibrio,-0.28881340159436636
Candidatus Aquiluna,-0.25351175954581584
Ligilactobacillus,0.2511123117613931
Geobacillus,-0.24718383112916575
Paucilactobacillus,0.23689890029497812
Buttiauxella,0.23327901640743273
Plesiomonas,-0.2315466164309235
Enterovibrio,0.22622161113423978
Hydrogenophilus,-0.22326401704330406
Dickeya,-0.2155827247092495
Fusobacterium,0.20996088861921686
Rikenellaceae RC9 gut group,-0.19986718911368997
Chryseobacterium,-0.19454234315405536
Cocleimonas,-0.19308081580276085
Candidatus Baumannia,-0.19161292099084917
Pectobacterium,0.18799100219537174
Lactococcus,0.187739082573153
Listeria,0.1846245776093778
Alkanindiges,0.17676115024087583
Pseudospirillum,0.17545878307189483
endosymbionts,-0.1684165251060622
Clostridium sensu stricto 5,-0.16481650166110728
Idiomarina,-0.16250929302632608
Dellaglioa,0.1621421891227073
Oleiphilus,-0.161793425265774
Arthrobacter,0.1523082363727873
Massilia,-0.1492931789598822
Lelliottia,0.14302213611094028
Aerococcus,0.14285205827168546
Shewanella,0.1401190107731627
Franconibacter,-0.1319447970851433
Cronobacter,0.12931994559270377
Motilimonas,-0.12550779717902968
Bombilactobacillus,0.12155391638197188
Coxiella,0.12092145822459587
Unnamed: 0,-0.1163596402681999
Psychrobacter,-0.1097063616298327
Fusibacter,0.10948369064894992
Vagococcus,0.10811923042316085
Citrobacter,0.10781258039678827
Comamonas,-0.10681071011536677
Ornithobacterium,-0.10382899073447051
Romboutsia,-0.09930065408770278
Virgibacillus,-0.09848801092570841
HT002,-0.09603996034986206
Brachybacterium,-0.0943022638893341
Candidatus Benitsuchiphilus,-0.08955523122996008
Buchnera,-0.08955523122996008
Anoxybacillus,-0.08722520240468208
Janthinobacterium,-0.08485509787845343
Carnobacterium,0.07785310649863623
SAR92 clade,-0.07529472828675128
Flavobacterium,-0.07284299143904616
Cobetia,0.07107094074774675
Weissella,-0.06931026652925239
Succinivibrio,-0.06896830565984786
Faecalibaculum,-0.06896830565984714
Grimontia,0.06861223442152854
Prevotella_7,0.06856497049715694
Atopostipes,-0.06745641559983163
Proteiniclasticum,0.06449024978243148
Fictibacillus,-0.06348017356270544
Gallaecimonas,0.06116927527621464
Alloiococcus,-0.060838513943518406
Marinomonas,-0.05865656587822708
Furfurilactobacillus,0.0566593431798948
Escherichia-Shigella,-0.05593913024464446
Simplicispira,0.055895687268609516
SZB85,0.055895687268609474
Reinekea,0.05589568726860922
SUP05 cluster,0.05589568726860922
Rodentibacter,0.05589568726860904
Candidatus Photodesmus,0.05589568726860904
Marine Methylotrophic Group 3,0.05589568726860904
Aliivibrio,0.05589568726860897
Polycyclovorans,0.0558956872686088
Lacticaseibacillus,0.05570706035309285
Microbacterium,-0.053787737175754836
Loigolactobacillus,0.051731015206264344
uncultured,-0.05085809334024009
Shimwellia,0.049512022676374605
Moraxella,-0.04906699410094697
Pragia,-0.048056867461062275
Neptuniibacter,-0.04794847718431813
Marinilactibacillus,0.04784774906709856
Aeromonas,0.04625407100131309
Vulcanibacillus,-0.04624090342627303
Peptoniphilus,-0.04604031922256781
Mailhella,-0.04600302912754363
Bergeyella,-0.046003029127543255
[Agitococcus] lubricus group,-0.046003029127543026
[Ruminococcus] gauvreauii group,-0.04600302912754295
Thalassotalea,0.045803857312334675
Campylobacter,0.045025105774935736
Leucobacter,0.04463764091958639
Myroides,-0.04429235372460364
Cosenzaea,0.043990440519544226
Halochromatium,0.04313701949423339
Galbitalea,0.0428636475131249
Peptostreptococcus,-0.042836622787016984
Porphyromonas,-0.04264294328903724
Clostridium sensu stricto 1,-0.0419973733304671
Brevibacterium,-0.0407288499543258
Yersinia,0.03940118567357647
Proteus,0.038031597618615444
Jeotgalicoccus,-0.037286479887740816
Kluyvera,0.03599539010701496
Anaerococcus,-0.03560191937470226
Granulicatella,-0.03380602073854208
Apilactobacillus,-0.03319421395758047
Desemzia,-0.03275524420352308
Moritella,0.031882484314056866
Colwellia,0.031608666223140666
Amylolactobacillus,0.030899304536656347
Lysinibacillus,-0.03052397637373292
Levilactobacillus,0.029451197902958956
Latilactobacillus,0.028653452069215567
Alkalibacillus,-0.027265639850076694
Flavonifractor,-0.027265639850076694
Paraprevotella,-0.027265639850076694
Lactovum,-0.026343699851126164
Rothia,-0.02603533837689173
Enhydrobacter,0.02596787904094822
Paralactobacillus,-0.025723186605162665
Streptococcus,-0.024970982272773033
Rahnella1,0.02439112831204159
Hafnia-Obesumbacterium,0.024152549579322155
Endozoicomonas,0.023748375247359437
Cetobacterium,-0.023665738163032305
Lacticigenium,-0.023642280990207615
Bavariicoccus,-0.02337245258621329
Pseudocitrobacter,-0.022493866080689817
Fructilactobacillus,0.02230462845004861
Companilactobacillus,0.021880273492354146
Sideroxydans,0.021696471244634676
Lacimicrobium,-0.02156433211875441
Candidatus Profftella,0.021520782458834542
Ignavigranum,0.021216130837098415
Amphritea,0.02091391356095269
Salinicoccus,-0.020488250822078752
Limosilactobacillus,0.020119915110386674
Sinobaca,-0.01926653790014197
Conchiformibius,-0.019266537900141913
Duganella,-0.0187813464273975
Candidatus Blochmannia,0.0184940741122623
Serratia,0.018487524863714914
Rheinheimera,-0.018464443804082895
Arcobacter,-0.018208950428853087
Paenibacillus,-0.01801757247520896
Ureibacillus,0.017976961048195777
Schleiferilactobacillus,-0.017164434868730736
Salmonella,0.017064500764221557
Planomicrobium,-0.017013127593471174
Bacteroides,0.017012041382102112
Devosia,-0.015542509143193136
Incertae Sedis,-0.014852966065340529
Dolosigranulum,0.014726969253565435
Exiguobacterium,-0.014433013118028217
Stenotrophomonas,-0.014209208517458377
Klebsiella,0.013874766194545522
Nitrincola,-0.013565350379530829
Kurthia,0.013182205781050107
Gibbsiella,-0.0127136923572187
BD1-7 clade,0.01254344703802134
Aurantimicrobium,-0.012526236624365424
Rhodoluna,-0.01252623662436542
Herbinix,-0.012526236624365314
Thiopseudomonas,0.012424763270028023
Gallicola,-0.011920767997346845
Lactobacillus,-0.011807203024431421
Alcaligenes,-0.011697924165760657
Pseudarthrobacter,-0.011515134730524493
Oceanisphaera,-0.011235829588964673
Salinivibrio,0.01123517062794843
Alistipes,-0.011046431513615073
Secundilactobacillus,0.01087604805118478
C1-B045,-0.010810569763718627
Micrococcus,-0.010768623947015759
Psychrilyobacter,-0.010287298496691327
