,SAMN_ID,SRR_ID,Sample_Name_y,EnvType,Day_numeric,SamplingTime,Total mesophilic aerobic flora (log10 CFU.g-1),AAP99,Abditibacterium,Abiotrophia,Acetitomaculum,Acetivibrio,Acetobacter,Acholeplasma,Achromobacter,Acinetobacter,Actinoplanes,Aequorivita,Aeribacillus,Aerococcus,Aeromonas,Aestuariibacter,Agrococcus,Agromyces,Alcaligenes,Algicola,Alicyclobacillus,Aliiglaciecola,Aliivibrio,Alishewanella,Alistipes,Alkalibacillus,Alkalibacterium,Alkanindiges,Alloiococcus,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Altererythrobacter,Alteromonas,Amaricoccus,Amphritea,Amylolactobacillus,Anaerococcus,Anaerocolumna,Aneurinibacillus,Anoxybacillus,Apilactobacillus,Aquabacterium,Aquamonas,Aquicella,Arcobacter,Arenimonas,Arsenicitalea,Arsenophonus,Arthrobacter,Atlantibacter,Atopostipes,Aurantimicrobium,Azotobacter,BD1-7 clade,Bacillus,Bacteroides,Barnesiella,Bavariicoccus,Bergeyella,Bifidobacterium,Biostraticola,Bombilactobacillus,Bowmanella,Brachybacterium,Brevibacterium,Brochothrix,Buchnera,Budvicia,Burkholderia-Caballeronia-Paraburkholderia,Buttiauxella,C1-B045,Campylobacter,Candidatus Aquiluna,Candidatus Baumannia,Candidatus Benitsuchiphilus,Candidatus Blochmannia,Candidatus Ecksteinia,Candidatus Photodesmus,Candidatus Phytoplasma,Candidatus Profftella,Candidatus Regiella,Candidatus Stammerula,Carnimonas,Carnobacterium,Cedecea,Cellvibrio,Cetobacterium,Chishuiella,Christensenellaceae R-7 group,Chromohalobacter,Chryseobacterium,Citrobacter,Clostridiisalibacter,Clostridium sensu stricto 1,Clostridium sensu stricto 10,Clostridium sensu stricto 12,Clostridium sensu stricto 3,Clostridium sensu stricto 5,Clostridium sensu stricto 8,Clostridium sensu stricto 9,Cobetia,Cocleimonas,Cohnella,Colwellia,Comamonas,Companilactobacillus,Conchiformibius,Corticicoccus,Corynebacterium,Cosenzaea,Coxiella,Cronobacter,Cryptosporangium,Curtobacterium,Delftia,Dellaglioa,Dermacoccus,Desemzia,Devosia,Diaphorobacter,Dickeya,Dielma,Dietzia,Dolosigranulum,Domibacillus,Duganella,Dyadobacter,Edwardsiella,Empedobacter,Endozoicomonas,Enhydrobacter,Enteractinococcus,Enterobacillus,Enterobacter,Enterococcus,Enterovibrio,Erwinia,Erysipelothrix,Escherichia-Shigella,Exiguobacterium,Facklamia,Faecalibacterium,Faecalibaculum,Faecalicoccus,Faecalitalea,Falsirhodobacter,Ferrimonas,Fictibacillus,Filifactor,Flavobacterium,Flavonifractor,Floricoccus,Fluviicola,Franconibacter,Fructilactobacillus,Fructobacillus,Furfurilactobacillus,Fusibacter,Fusobacterium,GKS98 freshwater group,Galbitalea,Gallaecimonas,Gallicola,Gemella,Geobacillus,Georgenia,Gibbsiella,Glaciecola,Globicatella,Gluconobacter,Glutamicibacter,Gordonia,Granulicatella,Grimontia,HT002,Haematomicrobium,Haemophilus,Hafnia-Obesumbacterium,Halarcobacter,Haliangium,Halobacillus,Halochromatium,Halomonas,Haloplasma,Helcococcus,Herbinix,Hydrogenophilus,Idiomarina,Ignatzschineria,Ignavigranum,Incertae Sedis,Izhakiella,Janthinobacterium,Jeotgalibaca,Jeotgalicoccus,Kerstersia,Klebsiella,Klenkia,Kluyvera,Kocuria,Kosakonia,Kurthia,Lachnospiraceae NK3A20 group,Lachnospiraceae UCG-004,Lacimicrobium,Lacticaseibacillus,Lacticigenium,Lactiplantibacillus,Lactobacillus,Lactococcus,Lactovum,Lampropedia,Lapidilactobacillus,Latilactobacillus,Lawsonia,Lelliottia,Leminorella,Lentilactobacillus,Leucobacter,Leuconostoc,Levilactobacillus,Ligilactobacillus,Limosilactobacillus,Liquorilactobacillus,Listeria,Loigolactobacillus,Luteimonas,Lysinibacillus,Lysobacter,Macrococcus,Mailhella,Malaciobacter,Marihabitans,Marine Methylotrophic Group 2,Marine Methylotrophic Group 3,Marinilactibacillus,Marinobacter,Marinobacterium,Marinomonas,Massilia,Mesonia,Methylobacillus,Methylobacterium-Methylorubrum,Methylotenera,Microbacterium,Microbulbifer,Micrococcus,Moellerella,Moheibacter,Moraxella,Morganella,Moritella,Motilimonas,Mucilaginibacter,Mycobacterium,Myroides,Neomicrococcus,Neptuniibacter,Nitrincola,Nitrosomonas,Nocardioides,Novosphingobium,Oceanisphaera,Oceanobacillus,Ochrobactrum,Oleibacter,Oleiphilus,Oleispira,Olsenella,Ornithobacterium,Oryzihumus,Oscillibacter,Paenalcaligenes,Paenibacillus,Paenisporosarcina,Pajaroellobacter,Paludicola,Pantoea,Paraclostridium,Paracoccus,Paralactobacillus,Paraprevotella,Pasteurella,Paucilactobacillus,Pectobacterium,Pediococcus,Pedobacter,Peptoniphilus,Peptostreptococcus,Phaseolibacter,Photobacterium,Pilibacter,Pisciglobus,Planococcus,Planomicrobium,Plesiomonas,Pluralibacter,Polaromonas,Polycyclovorans,Polymorphobacter,Porphyromonas,Pragia,Prevotella_7,Promicromonospora,Proteiniclasticum,Proteus,Providencia,Pseudarcobacter,Pseudarthrobacter,Pseudoalteromonas,Pseudocitrobacter,Pseudogracilibacillus,Pseudohongiella,Pseudomonas,Pseudonocardia,Pseudospirillum,Pseudoxanthomonas,Psychrilyobacter,Psychrobacillus,Psychrobacter,Psychroflexus,Psychromonas,Rahnella1,Raoultella,Reinekea,Rheinheimera,Rhodobaculum,Rhodococcus,Rhodoferax,Rhodoluna,Rhodomicrobium,Rikenellaceae RC9 gut group,Rodentibacter,Romboutsia,Rosenbergiella,Rothia,Ruminobacter,SAR92 clade,SUP05 cluster,SZB85,Saccharibacillus,Saccharopolyspora,Salegentibacter,Salimicrobium,Salinicoccus,Salinivibrio,Salmonella,Sarcina,Schleiferilactobacillus,Secundilactobacillus,Sediminivirga,Serratia,Shewanella,Shimwellia,Sideroxydans,Simiduia,Simplicispira,Sinobaca,Sodalis,Solibacillus,Solitalea,Soonwooa,Sphingobacterium,Sphingobium,Sphingomonas,Spiroplasma,Sporosarcina,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Succinimonas,Succinivibrio,Sulfurospirillum,Sutterella,Taibaiella,Tatumella,Tenuibacillus,Tetragenococcus,Thalassolituus,Thalassotalea,Thermoactinomyces,Thioalkalispira-Sulfurivermis,Thiobacillus,Thiomicrospira,Thiopseudomonas,Timonella,Tissierella,Tolumonas,Trichococcus,Tuberibacillus,UCG-004,Ureibacillus,Vagococcus,Variovorax,Verticiella,Vibrio,Virgibacillus,Vitreoscilla,Vulcanibacillus,Weissella,Wohlfahrtiimonas,Xanthomonas,Xenorhabdus,Yaniella,Yersinia,Yokenella,ZOR0006,[Agitococcus] lubricus group,[Clostridium] innocuum group,[Ruminococcus] gauvreauii group,[Ruminococcus] torques group,endosymbionts,uncultured
0,SAMN10970131,SRR8594671,C01T0A,Poultry,2,T0,6,0,0,0,0,0,0,0,0,348,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,48,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11682,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,43,0,0,72,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,187,0,580,119,55,0,0,0,162,0,0,0,0,0,67,58,101,183,0,0,21,0,0,0,0,0,0,0,0,0,0,106,0,43,94,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,23,0,15,0,0,0,327,0,39,0,0,147,0,5360,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75778,0,0,0,0,0,110,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,412,0,0,0,0,0,1069,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,34,0,0,0,0,53,0,0,0,0,0,0,0,32
1,SAMN10970132,SRR8594672,C01T0B,Poultry,2,T0,5.9,0,0,0,0,0,0,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,17,21136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,27015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,1296,215,15,0,0,37,488,0,0,0,0,0,108,159,79,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,155,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,23,25,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,82
2,SAMN10970133,SRR8594673,C01T0C,Poultry,2,T0,6.11,0,0,0,0,0,0,0,0,1384,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,11,71899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4419,0,0,0,0,0,0,0,0,0,0,0,0,0,16,191,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,135,20,46,0,0,0,0,0,0,0,0,0,83,0,197,103,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,0,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,277,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,128,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SAMN10970134,SRR8594674,C01T1A1,Poultry,7,T1,8.44,0,0,0,0,0,0,0,0,51,0,0,0,0,282,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,17,0,0,0,0,0,0,172,0,0,0,0,0,0,36,0,0,0,677,0,0,0,0,0,0,0,24,0,0,14,0,0,0,0,0,0,658,0,0,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,12,33,0,44,0,0,0,0,0,197,0,0,0,1970,0,0,0,0,0,0,0,11,0,0,0,0,0,36,0,0,28,528,217,0,45,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,0,11,0,0,26,0,0,0,0,128,0,0,0,0,0,24,31,33,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,129,0,0,0,0,0,0,785,0,2732,331,248,0,0,38,1365,0,53,0,38,0,14377,356,99,614,0,0,60,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,49,555,271,0,0,0,0,15803,0,0,0,0,288,0,0,0,0,0,0,0,0,0,47,49,0,0,64,0,0,0,27312,0,0,0,0,0,23,0,15,955,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,598,0,96,172,0,21227,79,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,237,0,0,0,41,0,0,0,0,1047,0,0,0,0,0,0,16,16.75
4,SAMN10970135,SRR8594675,C01T1A2,Poultry,7,T1,8.44,0,0,0,0,0,0,0,0,52,0,0,0,15,148,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,12,0,0,0,33589,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,92,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,29,327,108,0,234,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,49,0,0,0,0,0,17,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,72,0,0,0,0,0,0,337,0,928,152,54,0,0,11,300,0,0,0,0,0,13443,155,146,316,0,0,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,27,222,295,0,0,0,0,5061,0,0,0,0,192,0,0,0,0,0,0,0,0,0,38,0,0,0,32,0,0,0,7306,0,0,0,0,0,28,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,411,0,38,80,0,12852,62,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,18,0,0,0,0,689,0,0,0,0,0,0,0,18
5,SAMN10970136,SRR8594676,C01T1A3,Poultry,7,T1,8.38,0,0,0,0,0,0,0,0,47,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,202,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,17,0,0,156,0,0,0,0,0,48,0,0,0,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,174,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12,125,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,117,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,5801,0,19411,2376,892,0,0,173,9327,0,0,0,342,0,25266,2364,393,4793,27,0,358,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,1521,0,0,0,0,23409,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9254,0,0,0,0,0,34,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,368,1326,0,1419,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,80,0,0,78,0,0,0,132,0,0,0,0,96,0,0,0,0,0,0,0,99
6,SAMN10970137,SRR8594677,C01T1B1,Poultry,7,T1,8.58,0,0,0,0,0,0,0,0,154,0,0,0,33,145,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,71534,0,0,0,148,0,25,0,29,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,100,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,194,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,125,0,0,0,0,0,0,102,0,352,100,36,0,0,0,211,0,138,0,0,182,1030,44,211,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,174,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,17,137,453,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,25,0,0,0,78,68,0,0,17,0,0,0,2098,0,0,0,0,0,98,0,0,92,113,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,498,0,17,44,0,10722,135,0,0,0,0,0,35,0,0,0,0,0,0,0,0,15,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,2098,0,0,0,15,0,0,0,0,309,0,0,0,0,0,0,0,18
7,SAMN10970138,SRR8594678,C01T1B2,Poultry,7,T1,8.72,0,0,0,0,0,0,0,0,0,0,0,0,35,66,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,22,0,0,0,130516,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,64,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,383,0,0,0,132,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,13,0,0,0,0,103,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,387,0,1212,258,41,0,0,13,398,0,0,0,21,0,6679,185,318,331,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,11,0,0,87,0,746,0,0,19,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,297,0,0,0,0,0,66,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,89,0,5590,22,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1051,0,0,0,46,0,0,0,0,128,0,0,0,0,0,0,0,0
8,SAMN10970139,SRR8594669,C01T1B3,Poultry,7,T1,8.54,0,0,0,0,0,0,0,0,123,0,0,0,0,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,128,0,0,0,3509,0,0,0,69,0,0,0,11,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,61,0,0,0,7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,66,0,0,0,134,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,28,0,49,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,67,0,0,0,0,0,0,3753,0,11901,1385,37,0,0,111,4964,0,36,0,147,0,2658,1141,262,3094,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,72,819,0,0,0,0,2370,0,0,0,0,27,0,0,0,0,0,17,0,0,0,0,42,0,0,0,0,0,0,389,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,128,0,0,164,874,0,2444,164,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,2059,0,0,0,68,0,0,0,0,98,33,0,0,0,0,0,0,70
9,SAMN10970140,SRR8594670,C01T1C1,Poultry,7,T1,8.76,0,0,0,0,0,0,0,0,188,0,0,0,15,186,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,49267,0,0,0,201,0,0,0,42,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,230,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,461,114,0,0,0,345,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,168,0,0,0,0,0,0,70,0,205,57,42,0,0,0,103,0,220,0,0,0,413,0,119,51,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,21,120,287,0,0,0,0,28,0,0,0,0,138,0,0,0,0,0,46,0,0,0,131,112,0,0,30,0,0,0,4643,0,0,0,0,0,59,0,10,112,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,11,0,0,9234,538,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5208,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,13,16
